,Text,Label,C_Disch_-1,C_Disch_1,C_Disch_Pred,drugName,condition,date,usefulCount,rating,error_analysis,comment
9442,"I usually only get YI when I&#039;m on antibiotics. Never fails. Well one day I woke up and had a strange, odourless discharge but it was in excessive amounts. Ignored it for about 2-3 days and then the itching set it. And burning. Which I&#039;ve never had accompanied by a YI. went to the DR. Prescribed Fluconazole , 150 mg and then a 2nd dose in a week and this cream. Inserting wasn&#039;t as bad as I anticipated actually , and I can&#039;t even use tampons. Instantly the itching inside slowly subsided and was still itchy on the outside but it&#039;s been 35 mins on the dot and now I feel totally relaxed with only an occasional twinge down there that is easily ignored. . I&#039;m excited to get some sleep and beyond happy to feel some relief",1,0.869159,0.023896368,-1,Terconazole,Vaginal Yeast Infection,12-May-17,3,9,,
53233,"I just had the second worst experience with cold sores. I have had them my entire life. Once I had two of them on my bottom lip in the sixth grade, horrible experience. Anyways. I just had one on my upper lip 2 weeks ago, Then got a cold. (Don&#039;t wipe your nose too hard!!) - caused me a minor cold sore, that was gone within a day with Abreva because I caught it soon. And if things couldn&#039;t get any better. The next morning I woke up with a fat lip and a nasty cold sore. I suspect it was due to my dry lips. Keep your lips moisturized! Abreva works guys. Trust me. My suggestion?? Pop those blisters and quickly dry them up with a tissue. and put Abreva over the blister for faster results. Think about it-- you&#039;re essentially speeding up the work.",1,0.89648706,0.001704321,-1,Docosanol,Herpes Simplex,22-Dec-15,16,10,,
3033,"I used Topiramate for 12 months for migraines which helped enormously, reduced them to 1 or 2 a month from the 10  .  Great side effect was the weight loss on 50mg, lost 60 lb but the migraines started getting worse so increased the dose to 100mg and had a LOT of side effects, periods stopped, body aches, palpitations, slow heartbeat, fatigue, memory loss the list was endless. I came off them altogether and migraines just came back as before and I put on 16lb weight in a month!  All the other side effects disappeared.  I have stayed off them for a month and am about to reintroduce them as I cannot stand the almost daily migraines. (And I don&#039;t want to put any more weight back on) this medicine works well but you need to get the right dosage.",1,0.81986845,0.007269009,-1,Topiramate,Migraine Prevention,6-Dec-14,6,9,,
19478,Decreased urinary frequency within first 2 days of 25mg per day. I&#039;ve had mild Gi symptoms that are very manageable. I have low back and hip pain that have become severe. This is my third week of the med. I do not want to give this Med up...  but can&#039;t take this pain. :/,1,0.9858328,0.002457063,-1,Myrbetriq,Overactive Bladde,28-Jul-16,44,10,,
8482,"I have no clue what is wrong with me. After three months I am still suffering from constant urge to pee / frequency.  I had the sensitive urine cultures and oddly enough bacteria was found. Funny how you can&#039;t find any bacteria with a regular test. I don&#039;t have pain yet just frequency and no leaks!  So I&#039;m going for another opinion because all bacteria is gone. Doc says just residual inflammation. Come on now! I doubt it.  So I take pyridium whenever I flare bad. It helps cut the frequency to 1 time every 1.5-2 hours or even longer. It&#039;s amazing. Yes I pee less and love it!  Without it, I go 5 times in one hour. Makes me so sad",1,0.75985444,0.008107703,-1,Phenazopyridine,Interstitial Cystitis,18-Aug-17,5,10,,
15255,"Was on Levothyroxine and I noticed some improvement, but still felt symptoms.  We increased the dosage and noticed improvement, but still not quite right.  Over time my symptoms returned and I was continually complaining that my dosage was not right, even though my numbers were within normal limits.  My doctor recommended the switch to armour.  The first week I wanted to die, I couldn&#039;t stay awake, I had constant headaches, I was irritable. After 5 days, I was ready to call the doctor and get taken off...and then MAGIC happened happened. Week 2 I had energy, I started to sleep better, no headaches.  So far so good.  I am hopeful!",1,0.9948166,0.000525754,-1,Thyroid desiccated,Hashimoto's disease,2-Dec-15,48,9,,
25658,I had previously taken Provigil 200mg daily and my prescription ran out for about 2 months.  I was given a sample package of Nuvigil 150mg daily to try for 2 weeks.  I noticed that I only slept about 7 hours in 72hrs (3days).  The Provigil did not do this to me.,1,0.99856,0.000258991,-1,Nuvigil,Shift Work Sleep Disorde,13-Sep-09,21,9,,
1182,11 weeks pregnant and took this for a sinus infection. 500mg for 3 days. Stomach pain that starts about an hour after taking and lasts for several hours. I have a rock iron stomach so no diarrhea but terrible gas!! Not fun stuff but when you&#039;re allergic to the --cillin family there&#039;s not much choice!,1,0.9804637,0.001143565,-1,Azithromycin,Chlamydia Infection,3-Mar-17,4,8,,
40543,"



I am a mother of a young adult female. Over a year ago, my daughter was healthy but took the Depo Vera shot to help her with her period. First Depo shot-an allegeric reaction, the GI issues started and became a health nightmare. As a mother, I took my daughter to every Dr imiginainable for non narcoctic meds, tried every diet, and Googled every review-no relief for almost 2 years. As her mother, I felt helpless. My daughter was in chronic pain and sickness. Until a day ago, 7/5/2017, this expensive drug (shame on your creators) was prescribed ...a miracle. Last night, my daughter slept like a baby for the 1st time in 2 years.",1,0.9953746,0.003793844,-1,Rifaximin,Irritable Bowel Syndrome,6-Jul-17,3,10,,
2548,"One month on metformin, No change. Dr changed amount to 1000 mg 2 x day, caused EXTREME itching. Going next week for appt with PCP going off metformin I&#039;m sure.",1,0.99659353,0.000299755,-1,Metformin,"Diabetes, Type 2",30-Jan-15,55,8,,
31706,"MAJOR CHOKING HAZARD! 

I&#039;ve been taking the pill version, instead of the liquid, for a few months. I literally almost died twice from choking on this pill. What they don&#039;t tell you is that as soon as you put the pill in your mouth, and it hits moisture, it swells. Put it in water and watch. Because there&#039;s no coating, it&#039;s hard to get down. This leads to choking until it starts to dissolve. DO NOT take this while you&#039;re alone! Other than that, it works well, lol. 

Dissolve it in a cup of warm water then chug it. I wouldn&#039;t split it in half because it&#039;s more likely to get stuck because of the sharp corners.",1,0.99805695,0.000370246,-1,Sucralfate,Stomach Ulce,29-Apr-17,19,8,,
13960,"I feel more aggressive, angry, unable to focus on things for a long period of time, weight gain",1,0.9984688,0.000281813,-1,Gabapentin,Peripheral Neuropathy,2-Dec-17,0,8,,
42340,"Got my impant Nov 2014 having it taken out tomorrow.  The pro of having it not having to remember to take a daily pill. Cons in my experience weight gain and not beings able to lose it even with diet and exercise. Acne which I&#039;ve haven&#039;t experience since I was a teenager. Mood swings and depression. First three months I bleed after that my period last two weeks every month.  My period use to last 3 to 5 days. The insertion wasn&#039;t too bad with the exception of the needle. But having it removed I will have stitches put in and have a scar. But at this point I can&#039;t take it anymore I just want to out. I thought because I&#039;m healthy and fit I wouldn&#039;t have negative side affects, but my body didn&#039;t respond favorably.",1,0.9924775,0.000406443,-1,Etonogestrel,Birth Control,28-May-15,0,8,,
28182,This is really something for someone with a more severe yeast infection.  Mine was absolutely unbearable.  I was horribly swollen and irritated because of the amount of yeast.  This was following a round of antibiotics for a UTI after a horrible GI infection (I was not having a very good week downstairs).  If you have a milder yeast infection go with a monistat 7.  The ovule is packed with very aggressive antifungal compounds and unless you have an equally aggressive infection I&#039;d downgrade.  I did use the ovule at night because of my past experience with other antifungal creams (always use them in the evening).  I did wake up with dripping but after I used the restroom several time it helped clean out residual yeast and fungicide.,1,0.994187,0.001689525,-1,Tioconazole,Vaginal Yeast Infection,11-Oct-16,4,9,,
21301,Extremely erect ,1,0.997894,0.000910501,-1,Alprostadil,Erectile Dysfunction,20-Feb-16,51,9,,
20610,"My son has been on Clozaril for 3 years. He was dx with Bipolar when he was just 6 years old.  He had literally been on every anti-psychotic drug until his 7th hospItal stay, his regular psychiatrist and the hospital&#039;s Dr decided to try this medicine. As far as his psychosis it has been a wonder drug. But physically, Clozaril is destroying his body. In the  first 6 months, he was dx with asthma. The worst of his problems that developed in the past 9 months has been GI and liver. He now has severe ensephagitis, gastritis, 4 ulcers and NAFLD (fatty liver disease). He has also gained over 50 lbs. Not just teenage pounds. I was also told when he started the Clozaril, it isn&#039;t really approved for patients under 18. Too late now.",1,0.9538125,0.000861749,-1,Clozapine,Paranoid Disorde,29-Sep-15,18,8,,
23434,"I have racked my brain trying to remember the name of this birth control. Sad it is discontinued. My favorite out of five brands I have tried. Made me lose 5lbs/mo without changing anything in my life style, i never got pregnant and I never had acne.",1,0.9980197,0.000308778,-1,Gildess Fe 1 / 20,Birth Control,8-Nov-16,4,10,,
37537,"I started this birth control pill 12 days ago. I&#039;m 18 years old and take it for bad cramps and excessive bleeding. Ever since I started it I&#039;ve had extremely debilitating nausea, anxiety, and loss of appetite. I stopped taking it yesterday in hopes of the terrible nausea ending. The nausea spread from my shoulders to the bottom of my sternum. I had anxiety attacks for no reason. I would not recommend this medication.",1,0.99837214,0.000240672,-1,Ethinyl estradiol / ethynodiol,Birth Control,8-Apr-16,1,8,,
24583,"I never really believed I would quit smoking. I loved smoking. I wanted to live longer and that is the only reason I wanted to quit. I chose option 3 plan on chantix 84 days to quit, you just cut in half each month. I had a lot of nausea so I took 1/2 dosage for 3 weeks. At end of 3 weeks I went from 2 packs a say to 7-8 cigs a day. Started full dose at this time and ate before taking that helped nausea, had a lot of weird dreams but slept better on chantix. Today is my stop date and I fully quit  almost a month ago before my stop date. I have never felt as proud as I am right now, I did it. I just had to get past the first 2 weeks then it was smooth sailing. I let chantix do the work. Thanks chantix",1,0.94376343,0.02585718,-1,Varenicline,Smoking Cessation,18-May-17,21,9,,
47446,I had this for a Infection in left finger nail and I broke out in large hives all over my body after one dose of medication.,1,0.9961862,0.000465049,-1,Doxycycline,Skin or Soft Tissue Infection,2-Nov-16,2,10,,
22758,"Major side effects  included sexual and erectile dysfunction, Impotence,",1,0.9981774,0.000245628,-1,Lurasidone,Bipolar Disorde,18-Nov-17,0,8,,
152,First off let me start off by saying that I am only here because before I started this medication I lived and died by the reviews on here. As a matter of fact had it not been for the reviews I probably never would have taken the chance and been A LOT worse off. If your reading this you&rsquo;re probably at the point where you know you should take this medicine but anxiety is telling you it will harm or kill you. Don&rsquo;t listen to it. It&rsquo;s LYING. This medicine took me from being agoraphobic to attending rock concerts. It doesn&rsquo;t work overnight and the side effects DID suck but they were worth every single one. I have my life back and my only regret is that I waited so long to try. I started in May and by October I was basically a brand new person.,1,0.9978853,0.001097236,-1,Escitalopram,Generalized Anxiety Disorde,25-Nov-17,6,10,,
41815,"We have had the worse run in our house, our 15months old twins have HSV1 in there mouth!! They were so sick, I caught it off them! Being there mum I would have to apply gel in there mouth, so I did so as normal and then with out thinking I have had to race to the bathroom to use the loo and forgot to wash my hands, now as a result of that I have given myself genital herpes and boy am I mad!! This is the most disgusting thing and painful thing that has ever happened to me! Now hubby and I are worried hubby&#039;s going to catch it off me! I&#039;m just guttered by this!! Docs given me some valacyclovir to use but we are 2 days in and my mouth and down stairs areas are still only getting worse! I&#039;m praying things are going to get better really soon!",1,0.9988462,0.000457449,-1,Valacyclovir,"Herpes Simplex, Mucocutaneous/Immunocompetent Host",27-Apr-17,2,9,,
819,I have tried indomethicin.  Never works.  Methyl prednisone works almost immediately every time.,1,0.9943297,0.00456495,-1,Methylprednisolone,"Gout, Acute",23-Nov-15,17,9,,
33690,"Once you are on this medication, DO NOT STOP. I tried a whole bunch of over-the-counter and prescription medicines for my facial acne but nothing seemed to work till I tried a combination of Tretinoin (.025%) and Clindamycin, both topical medications. A pea size amount of Tretinoin at night before bed and the Clindamycin lotion in the morning. For the first two weeks the medication seemed to work and my acne started receding. But then the acne came back, not as acute as before, but enough for me to notice that maybe the bacteria was winning the battle. Nevertheless, I stuck to it like my dermatologist recommended and within a few months my acne had spoofed away! I strongly recommend it. If the acne worsens, Be patient. Male-25",1,0.99326175,0.000251613,-1,Tretinoin,Acne,10-Mar-15,35,10,,
41066,"Bloating, stomach discomfort",1,0.8302948,0.011736949,-1,Metformin,"Diabetes, Type 2",10-Dec-14,45,8,,
17674,"My new Doctor tried to take me off tramadol and prescribed something else, additionally went to a one star rehab center with my bag of medication they didn&#039;t give me all of my medication back and short-changed me a full bottle of tramadol. What makes this a tragedy they gave me a pill case (14 day) with all the pills for someone else......................................",1,0.99812764,0.00058901,-1,Tramadol,Back Pain,27-Mar-17,6,9,,
39483,I have a lot of pain from neck surgery and a list of back problems that have changed my life like so many of you understand. My problem is that I have taken 30 mg a day for 11 years and it just does not work anymore. I can&#039;t get a higher dose or a change that might help because its something new. It helped at first but I just want to stay home and do nothing. I feel hopeless for the future and just don&#039;t know what to do . No Dr. wants to give these drugs,1,0.82208735,0.001365225,-1,Oxycodone,Chronic Pain,26-Jan-17,26,10,,
34634,"My GP prescribed this drug to me to help me sleep as I have Borderline personality disorder and OCD.

I was to take 1 tablet a couple hours before bedtime; I done just that.



Within an hour, I started to feel slightly paralyzed and severely slow like a sloth. By two hours I wasn&#039;t able to properly hold a sentence without slurring. I went to bed and felt like I fell asleep instantly.



The next morning on the School run I was completely unable to get up. My child stayed home and watched tv next to me whilst I slept until 12pm. I awoke feeling severely slow and like I had severe depression. The effects lasted until the next morning.



Anyhow I took half a tablet a week later and the same effects were there but not as severe.

PLEASE BE CAREFUL.",1,0.99832135,0.000307551,-1,Mirtazapine,Insomnia,5-Jul-17,13,10,,
24466,"Been on it since I was 29. Panic attacks almost non existent. Since been on it bad nausea and vertigo when first taking it, cut dosage to 50 mg a day at bedtime.",1,0.97689223,0.004360586,-1,Trazodone,Anxiety,16-Mar-11,58,9,,
35514,"I am prone to yeast infections during pregnancy. This is my first one for this pregnancy and it is horrible. I used Vagisil Extra Strength to help with the itchiness. It made my symptoms worse. Usually I use a 1% hydrocortisone cream. I did get a prescription from my doctor for Diflucan and took it ASAP. No relief yet. Hoping that my body hasn&#039;t gotten use to the medicine. If so, I am in for a miserable pregnancy.",1,0.90277344,0.000568491,-1,Fluconazole,Vaginal Yeast Infection,22-Sep-14,26,10,,
52832,"I took this antibiotic for a tooth infection and it worked over all. The first day I was alright, but into the second day, I started having diarrhea. Now, almost 2 weeks later, I still have diarrhea and it&#039;s beginning to bother me because I have to go to the bathroom after I eat any little thing. I recommend any other antibiotic except clindamycin.",1,0.98796856,0.001345065,-1,Clindamycin,Bacterial Infection,6-Jan-17,8,9,,
538,"I&#039;ve been on this implant for about a year I absolutely hate it I weighed 120 after having my baby I was so small my doctor told me I would only gain about 5 pounds, I am now at 199 I&#039;ve tried losing weight that doesn&#039;t work my acne is out of this world I barely get a period and when I do it last for like a day and a half! This implant is causing my body so many problems I have headaches all the time , My breast hurt , My back hurts , And it&#039;s so difficult trying to lose weight on this it makes me eat unusual I eat all day .. It keeps you baby free and I don&#039;t want to get it removed but it comes with so many side effects that your doctor doesn&#039;t really tell you about!",1,0.99330974,0.000625856,-1,Implanon,Birth Control,17-Nov-16,12,10,,
4486,My experience with MS ER 15 mg is it didn&#039;t help at all the MS IR 15 mg worked better. Now Does anyone know the differences between MS ER and MS SR? I think they gave me the wrong script. I always take 30 mg of MS ER and today was given MS SR.,1,0.9934696,0.000373446,-1,Morphine,Chronic Pain,24-Sep-16,6,8,,
50321,"Been on hydrocodone for over ten years, have good control of pain now out of no where my provider decided that is not what I needed, it has ruined my life. I have been put on gabapentin, it makes me brain dead and does not take away my chronic pain. I am in agony.",1,0.998181,0.000367358,-1,Hydrocodone,Pain,15-May-14,20,10,,
26082,"I have been sick for nearly 3 weeks now. I had pneumonia and a sinus infection. I had a full course of Levaquin and 60mg of Prednisone a day, and while it did help at first, it did not clear up the sinus infection. 2 days after taking my last dose I couldn&#039;t breathe and had the sinus infection trigger a migraine causing me to throw up on top of everything else. I was rushed to the Dr. where I was given 3 shots (Steroids, Rocephen, and Tordal/Zofran) and put on 500mg twice a day of Clarithromycin. This antibiotic has been a God send for me. Yes my stomach gets crampy, I have mild nausea, and very vivid dreams, but after 4 days of this medicine I am feeling so much stronger. I absolutely recommend it.",1,0.6541392,0.00331384,-1,Clarithromycin,Sinusitis,15-Jan-17,13,10,,
4646,Been on Exforge 5/165 for 3 months. Too tired all the time and gained 10 lbs. Will try 20 mg Prinivil and report back. Exforge did keep blood pressure down but I had bad side effect.,1,0.9955348,0.000313243,-1,Exforge,High Blood Pressure,28-Dec-09,32,8,,
20499,I was constipated for about 5 days do to taking diet pills. I took MOM at about 1030pm at night I woke up at about 5 am rubbing my belly and thinking I can&#039;t believe this stuff hasn&#039;t kicked in. When I tell you that thought hadn&#039;t even left my mind yet it kicked in and with a bang!!!! I barely made it to the bathroom. I felt so much better even though I almost pooped on myself!!!!,1,0.9883818,0.004617467,-1,Magnesium hydroxide,Constipation,23-Apr-17,25,10,,
14701,"Opana doesn&#039;t work switch oxy morphine generic, when they changed Opana they ruined  it.",1,0.99887186,0.000411853,-1,Oxymorphone,Pain,18-Dec-16,10,10,,
12603,"So here&#039;s the deal. Don&#039;t take this unless you know you have a yeast infection! Bought this one since it seemed the least amount of time would be involved. Then I went home and read reviews. Everyone is warning about this INTENSE and HORRIBLE burning and itching they felt which actually made me hold off for a few days. If you do not have a diagnosed YI then this is going to BURN. Otherwise it&#039;s is going work like a charm. About ten minutes after putting this in before bed, I did feel a little bit of itching but not even enough to want to scratch. I fell asleep within 15 minutes and slept through the night. I had a diagnosed YI. I had NO BURNING. I had very little itching. This product is going to hurt if you don&#039;t have YI!!!!!",1,0.9842136,0.005838994,-1,Tioconazole,Vaginal Yeast Infection,8-Jul-16,16,9,,
25689,"While doing a twist in Zumba in January I felt a pop and terrible pain in my knee.  I was in great pain when walking, for a month, with a knee I have never had a problem with. When I went to the orthopedic Dr he told me I was bone on bone and a candidate for knee surgery.  I am 68 yrs old, very active and have never been overweight, I was shocked at the diagnosis.  Cortisone gave me no relief.  Starting in March I had one injection for 4 weeks, with minimal relief.  A month after the last shot (middle of May) I got out of bed with 90% relief and a bit more improvement for 5 to 6 days.  It is now 5 months and I am almost pain free!  I will have this again when it wears off.",1,0.9956968,0.001113262,-1,Hyaluronan,Osteoarthritis,24-Sep-14,72,10,,
