,Text,Label,C_Disch_-1,C_Disch_1,C_Disch_Pred,drugName,condition,date,usefulCount,rating,error_analysis,comment
38465,I had the same experience as smalltown123456. I have lost 90 lbs over the past 5 years and not lost any weight on saxenda over the past 5 months.  My doctor says I&#039;m a non-responder and amongst his patients there are 3 of us. We have all lost considerable weight before starting saxenda and not had any luck with saxenda helping us lose more weight. I also wanted to share my experience so people know saxenda doesn&#039;t always work as most of the comments are from people for whom the med did work.  It&#039;s dissapointing but hopefully there will be more options soon to help.,-1,0.026252115,0.95409954,1,Liraglutide,Obesity,23-Oct-16,35,1,,
46547,"I&#039;m 40 yr old healthy female that mysteriously had my first gout attack this week.  I thought my toes were broken.  I got into the doc right away and he rx&#039;d indomethacin.  Well I&#039;m 4 days after the attack and getting around pretty good and started managing it with just aleve by the 3Rd day but I quit the indomethacin because the side effects were terrible.  Bad headaches,  really tired,  dizzy. I thought it was the vicodin given to me for the pain but my side effects worsened even after I quit vicodin.  Everyone is different and I would have taken anything on day 1 to try and help the pain but I quit taking this drug as soon as my foot cleared up. The drug is unbearable.  Hopefully no new attacks for me and this is a freak thing.",-1,0.000404151,0.99611026,1,Indomethacin,"Gout, Acute",22-May-16,24,3,,
19748,It helped me have a stroke faster while I was active and out going left me in a wheelchair with double the pain between my affected side and my back. NO good. Changed my life and my family lives also,-1,0.000186629,0.9986092,1,Warfarin,Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery,6-Apr-17,6,3,,
34207,"i was on atenolol for a year 25 mg prn for palpitations.  Then i felt like crap without it.  Started experiencing more palpitations, doc put me on it twice a day. after a bout with ED, I asked to be put on something else, doc didn&#039;t budge.  I was diagnosed with mild aortic valve regurg. new doc, reluctantly switched me to coreg 12.5 2xday.  No longer ED, but it makes my heart rate go from 72 w/bp 126/69 at rest to 50 with bp raised to 149/78 with that low a pulse. Horrible bouts of light-headedness, subdermal rashes that won&#039;t go away, 50 pounds gained with even more exercise and closely monitored diet than before, and blood pressure that will not stay regulated.  Never had high bp before getting on beta blockers.  stay away unless absolutely necessary!!!!",-1,0.000498804,0.99688596,1,Carvedilol,High Blood Pressure,4-Oct-15,48,2,,
35560,"I&#039;ve take so many medications throughout the years. There was always something I didn&#039;t like. I always felt off with every medication. I found out about St John&#039;s Wort and it CHANGED MY LIFE! ZERO SIDE EFFECTS! If you&#039;re wondering about medications please give St John&#039;s wort a try! I feel like me, but a BETTER me! Not a &quot;medicated&quot; me",-1,0.000383722,0.99843186,1,Lamictal,Bipolar Disorde,25-Jan-16,16,1,,
47217,Doctor said to try this for heartburn its 1 pill per 24 hours... was quick to get rid of pain and acid taste wore off after 4 hours.,-1,0.00019634,0.9952401,1,Omeprazole / sodium bicarbonate,Duodenal Ulce,26-Jun-17,1,1,,
3165,"I took invokana for 9 months after being diagnosed with type 2 diabetes last December. I also changed my eating habits, no junk ,no fried foods, no soda, no sweets and low carb. I lost 47 pounds not sure how much the invokana helped with that .  I did get a wicked yeast infection that never went away .  After researching invokana and realizing how bad some of the side effects can be (kidney cancer or kidney failure), I asked Dr to take me off it, he did as long as I&#039;m keeping blood sugar down in normal range . It&#039;s been 3 months and so far I&#039;m controlling it with diet and exercise. I test my own blood sugar every day and its in normal range. I&#039;d rather do it this way as long as I can. Invokana wasn&#039;t worth the risk, rather try metformin.",-1,0.000443563,0.96277845,1,Canagliflozin,"Diabetes, Type 2",10-Jan-16,25,3,,
49305,"Tramadol has rather limited positive perceivable impact on opioid-tolerant patients such as myself. Chronic discomfort makes it difficult for me to focus on external tasks, but I do believe this synthetic preparation has a place in late stage rehab where patients are required to slowly step down systemic pain treatment.",-1,0.000145651,0.9985997,1,Tramadol,Pain,2-Jun-09,9,3,,
35692,"I&#039;ve been taking the meds for about about 5 months now and I can honestly say I first I was so happy, I felt like my live had purpose. More chatty, as before I suffered form major depression where I didn&#039;t leave me bed in 2 months and constantly tired to kill myself. But I could see everything much clearer. But I got too over happy on this drug and by about 9 weeks of taking it I felt depressed for a week but I carried on taking it, I went to the doctors as one day I was really happy and the other day I was really unhappy, and threw taking the medication I was they diagnosed with manic depression (bipolar disorder) worst thing I ever done?",-1,0.000241484,0.98531044,1,Fluoxetine,Depression,9-Dec-15,2,1,,
38644,"I was prescribed Topamax for chronic migraines 25mg 2xday for 5 days and then 50mg 2xday. Within 2 days, I had no pain at all, a more &quot;stable&quot; appetite with no carbohydrates/sweet cravings, and I had a lot more energy. The only side effects so far were frequent urination, mild leg pain/numbness, and eye sensitivity. By the third day, my eyes were so sensitive, I was constantly squinting and felt like I needed to wear sunglasses indoors. My vision has always been great and now I was having a hard time seeing clearly. In all the reviews I had seen, I never read about anyone having vision problems after taking this. I just want people to be aware of this happening. It did work wonders for my migraines.",-1,0.000137252,0.9988502,1,Topiramate,Migraine Prevention,24-Aug-09,4,3,,
12350,"I got Mirena inserted 2.5 years ago. The insertion was slightly painful but I&#039;m good with pain. It wasn&#039;t till I left my doctors that I felt sharp cramps, which only lasted a day. At first I loved Mirena. I honestly can&#039;t take anyone&#039;s experience with Mirena less than a year seriously. That&#039;s because the first year of me having it I too thought it was amazing. No having to worry about the pill everyday, no bleeding, no pregnancy ! It was amazing, until about 9 months in. I started to get severe hormonal chin acne, mood swings, hair loss and dryness. I got my first BV infections, and the worst yeast infections. My sex drive is non existing anymore so that birth control within it own! Biggest factor was how crazy it&#039;s made me.",-1,0.000918551,0.96860975,1,Mirena,Birth Control,25-Apr-17,11,3,,
20188,"This was the first birth control I ever took. At first it caused   some spotting before I got my period, lots of random cramps, and I got my period around 3 days late and usually I&#039;d get my period for 5 days, now I was getting it for 7-8 days. I spotted the next two months as well, and my period stayed at the 7-8 day length.  

After 3 months, my periods went back to  normal. 

My boobs grew a whole cup size. I went from a 36 c to a 38 D. I went from weighing 158 pounds to 182 pounds in the span of 7 months. My pant size went from a size 4-5 to  10. I got tired of being overweight, and I left these pills. It just wasn&#039;t cutting it for me. 

I am 5&#039;5 and 20 years old

THEY WORK, BUT NOT WORTH THE SIDE EFFECTS, (at least for me..)",-1,0.00021772,0.99861646,1,Ethinyl estradiol / norethindrone,Birth Control,26-May-17,7,2,,
23465,"For the past 2-3 years, I have been on and off Lexapro/Ativan for Anxiety and Wellbutrin for quitting smoking. I stopped taking Lexapro about a year ago with excellent results. I basically just felt great and didn&#039;t need to take it anymore. I continued taking Wellbutrin (daily) and Ativan (as needed). Then I stopped taking both of those about 6 months ago because I was feeling great. Well, my anxiety started up again several months ago and I got back on Wellbutrin and Ativan, which have always helped me tremendously. However, I wanted to stop relying on the benzo (Ativan) and therefore, started taking Buspar. I have got NOTHING from it besides dizziness and a headache. I have been taking Buspar for about 2 months. I am starting Lexapro again.",-1,0.18012035,0.47023255,1,BuSpar,Anxiety,15-Nov-11,11,2,,
9581,"I used to wear contact lenses. In a recent eye exam, my optometrist applied 0.5% tropicamide and 0.5% phenylephrine (Myfriin-P) on my eyes. She did not warn me to wear sunglasses after check-up. My eyes exposed to intense sunlight 15 minutes afterwards without sunglasses. Then, I suffered eye pain for almost 2 months now and severe dry eye. 



I read many information afterwards. Corneal permeation of Tropicamide may enhanced by  phenylephrine and may enhanced also its strength. Sun exposure further complicated the harm.",-1,0.00037779,0.9985311,1,Tropicamide,Pupillary Dilation,12-Sep-15,2,1,,
8172,"I currently take Zonegran --I love love love it!!!---



Prior to this I took Depakote--for me this drug sucked-- I was lethargic, my hair fell out in clumps I went from weighing 225lbs to 389lbs  and I developed Sleep apnea.  I was taking 500 mg of Depakote four times per day---2000mg of this stuff-- I had several seizures in my sleep one where I fractured my ankle on the bed frame. The weight was the worst I could not control it. I wish I could submit a picture of myself while being on this stuff. After I got off this drug I lost 160lbs. My dad saw the b4 pic and didn&#039;t know who I was. Maybe this works for some, but not for me I would never take this again!!!",-1,0.00024469,0.9976653,1,Depakote,Epilepsy,4-Jan-16,13,1,,
13564,The depression I suffered with the implanon was scary. Until I had it removed I had no idea what a horrid grip it had on my emotions. I wanted to die most of the time. As soon as It came out I cried almost non stop for a few days and then started feeling better. Almost back to my normal self now. Thank goodness.,-1,0.0387074,0.7061081,1,Implanon,Birth Control,11-Jan-16,13,3,,
32053,My Doctor put me on Gabapentin after my neck surgery for nerve damage. I couldn&#039;t take it. It caused strange out of body experiences. He next tried Lycia and no problems. Actually I feel much much better taking the Lycia. It doesn&#039;t completely get rid of the pain but it does make it bearable.,-1,8.48E-05,0.9989506,1,Gabapentin,Neuropathic Pain,28-Jun-16,9,1,,
16616,"Kept it about a year before asking for his removal. 9 months bleeding almost non stop and half of my boob size vanished, leaving them like 2 empty sacks (I&#039;m 22). They kind of grew back afterwards but never got back to their initial shape.",-1,0.000979741,0.9398223,1,Implanon,Birth Control,17-Mar-17,3,3,,
36760,"I was given suboxone to help me with an addiction to hydracodone. Talk about jumping from the frying pan into the fire, is an understatement. I believe that prescribing a dangerous drug to get off another is irresponsible in my case. I went through 18 months of unnecessary addiction and withdrawal that simply could have been accomplished cold turkey for much less pain and heartache. It&#039;s my opinion that if you need to get off hydracodone, suck it up and go cold turkey or simply taper off your addiction slowly. DO NOT ever use this wicked drug!!  I can not stress enough the dangers this drug causes.",-1,0.005229088,0.9868847,1,Buprenorphine / naloxone,Opiate Dependence,11-Oct-15,47,1,,
36829,"Great drug and works like a charm. The only problem I found is it depletes your magnesium and potassium and I got muscle cramps so bad I thought I was having a heart attack. Even was rushed to hospital. The said, no heart attack. Finally, I figured it out on my own eleminating things because all the doctors wanted to do was push more drugs on me. Cannot take the drug. I have had part of my large colon removed due to Diverticulitis and then gall bladder surgery as well as adhesion removal surgery.





For those that are able to take it, I highly recommend it.",-1,0.000196255,0.99306655,1,Cholestyramine,Irritable Bowel Syndrome,16-Sep-16,17,3,,
41745,"My daughter is 8 years old and have been taking medicines since she was almost 4. She has been on a lot of different medicines. I am just wondering if her sudden outburst of happy, sad violent behavior is due to the doctors increasing her Vyvanse from 20mg to start with 1 year ago to 70mg which is what she is taking today.",-1,0.005621534,0.84944254,1,Lisdexamfetamine,ADHD,20-Jul-11,8,3,,
8305,"&bull;	19 Apr. 2016





Began initial dose at 2230 hours. Felt the medicine working within a &frac12; hour. Was in a good mood as I had been taken off of Warfarin this date. Before drifting off to sleep, I glanced at the clock. It was approx. 2300 hrs. I had an odd feeling in my throat that was possibly closing up. I remember worrying what is going on here? As the feeling in my throat persisted, I also felt my &ldquo;Adam&rsquo;s apple&rdquo; fluttering and an elevated heart rate. I soon fell asleep. No other meds taken except for Atorvastatin.





&bull;	20 Apr. 2016  





I awoke a 0600 hours to go to the bathroom. Upon arising, I felt a damp spot at the back of my underwear. Pulled the sheets back a discovered I had Shit the bed in my sleep. Felt real dizzy and drowsy. Thought to myself &ldquo;how &amp; why?&rdquo; this happened. Went to shower.





As the morning continued on at 0630, the side effects were evident:


1.	&ldquo;Hot flashes&rdquo; Absolutely miserable. Could not get / stay comfortable. Firstly, had the flushing sweats, then I would get too cold. Turning off the air conditioner and fan for about a half an hour, Becoming hot again. This has continued on and has not stopped. Extremely bad migraines as well since waking and did not let up at all. Sensitive to noise, light and sounds.


2.	The same feeling in my throat upon waking, I drank water to cool off and see if this would stop. And it didn&rsquo;t.


3.	My face was tingling all over as well.


4.	Moderately nauseous upon standing up or sitting down. The nausea had continued all day. Had a special K cereal bar to ease this up in the morning. Having only relief from it less than an hour.


5.	Tried eat cereal for lunch and discovered unable to eat it at all. The taste of it was making me sicker.


6.	Took two 500 mg acetaminophen at 0700, relief was only slight and the head aches returned less than two hours.


7.	Overall neck pain eased up and other arthritic symptoms did as well. I could definitley tell a difference, However the head ache did not.








8.	Decided to take a dosage during the morning at 1000 hrs. To avoid loss of bowel control in my sleep. Within about two hours, felt it working through my system. Same effects I mentioned as before. Severe headaches and Nausea all day. And of course unbearable hot &amp; cold feelings again thinking that these should eventually pass as I become used to it.


9.	Laid down from 1400 to 1700 to alleviate the symptoms. Awoke from the nap and tried to eat dinner. One bite made me sick to my stomach. Headaches still there. 


10.	Overall, felt the same until bedtime as I did all day. Will give it one more try tomorrow morning.


Did not take any meds except Atorvastatin, and two acetaminophen.





&bull;	21 April 2016





Awoke at 0815.  No bowel leakage. Took another dose of Duloxetine at 1000. Was able to tolerate a cereal bar.  Noticed the side effects once again and unable to have a bowel movement, within an hour of trying.  I will now stop this medication.  As I do not feel well at all and its side effects are terrible.",-1,0.000197693,0.9980762,1,Duloxetine,Depression,22-Apr-16,0,1,,
1702,"After a few years of taking Crestor (which worked fine for its intended purpose), I suddenly developed a severe case of Sciatica. I couldn&#039;t stand, sit, walk, lie down, or any other activity without terrible pain up and down the back of my left leg. I was tested for everything including MRI and using novocaine and other pain killers. Nothing helped. After 5 months of constant pain, my doctor suggested discontinuing Crestor. The pain was completely gone within a week. Come to find out, my Sciatic nerve passed through my Piriformis muscle instead of around it like in most people. The Crestor had caused toxicity in the Piriformis muscle  which caused it to squeeze the Sciatic nerve continuously, causing continuous pain.",-1,0.000243127,0.9992052,1,Crestor,High Cholesterol,11-Dec-16,75,3,,
39187,"I was diagnosed with fibromyalgia when I was 22 and I am about to turn 57 on the 27th of August. It really never bothered me until the last 8 years, and it hit me like a ton of knives. I have tried everything and nothing seems to help. I went to a rheumatologist and she diagnosed me with polymyalgia along with the fibromyalgia. Had neck surgery in July of last year and back surgery in December, and I can honestly say the pain is unbearable most of the time. I take effexor,gabapentin,robaxin, and occasionally I will take a tylenol arthritis. Thats it. He wants me to take prednisone and I was a pharmacy technician for 13 years so I know and have seen the side effects. So I am trying to figure out if its really worth it. I hurt 24/7, all over.",-1,0.000461202,0.9941843,1,Prednisone,ibromyalgia,18-Aug-17,5,1,,
19895,"I have suffered from debilitating migraines for years and have tried to take different medicines and avoid triggers and nothing worked until I used topamax... so it seemed. I&#039;ve been on a 100mg dose for about 6 months and am currently weening off it because I would rather die of migraine pain than live with the side effects of this terrible drug!(yes i know thats a big statement) However because of this drug at the young age of 18 I have been dissolved into an 80 year old woman. I cant remember anything, I went from an A to a D in math, I will completely forget life events and how I got places even when I was the one who drove, I am constantly dehydrated, yet always have a strong urge to urinated causing me to wet the bed...",-1,0.001387247,0.9967212,1,Topiramate,Migraine Prevention,25-Jul-15,17,2,,
51642,Knowing coal tar based products as most recommended I tried PsoriasinGel .75 gr pack with 1.25% coaltar- my skin got so dry it looked like a coat of gray paint- DID NOT RELIEVE ITCH at all - shall be happy to give this to someone for whom it may work - but cannot recommend based on my experience,-1,0.02915468,0.92106116,1,Coal tar,Psoriasis,20-Jan-16,2,1,,
40534,"I have bipolar disorder and schizophrenia so I know what medical side effects are all about. My doctor prescribed me trazadone to help me fall asleep. I am on 100mg. It works miracles for falling asleep, however in the morning, I cannot wake up. If I try and force myself to wake up, my limbs barely move and I cannot hold myself up. I could not even get out of bed.",-1,0.009622215,0.6431736,1,Trazodone,Sedation,8-Sep-09,40,3,,
45127,"I currently take Zonegran --I love love love it!!!---



Prior to this I took Depakote--for me this drug sucked-- I was lethargic, my hair fell out in clumps I went from weighing 225lbs to 389lbs  and I developed Sleep apnea.  I was taking 500 mg of Depakote four times per day---2000mg of this stuff-- I had several seizures in my sleep one where I fractured my ankle on the bed frame. The weight was the worst I could not control it. I wish I could submit a picture of myself while being on this stuff. After I got off this drug I lost 160lbs. My dad saw the b4 pic and didn&#039;t know who I was. Maybe this works for some, but not for me I would never take this again!!!",-1,0.00024469,0.9976653,1,Divalproex sodium,Epilepsy,4-Jan-16,13,1,,
34422,"I&#039;ve had pelvic pain and problems for the past 4 years. Had TVT mesh surgery in 2010. Countless Dr. visits for what I felt like a really bad yeast infection. Dr. just kept putting me on different medications. After Following Interstitial Cystitis diet for 3 months Went to Urologist and was told I have Over Active Bladder not IC, added Oxybutnin. Finally found a pelvic specialist OBGYN/URO 3 months ago. Had 5 Rimso 50/ heparin instillation, 1 to go. Added Valium suppositories, Tramadol and urostym therapy. IC symptoms are better as long as I stick to the diet. I have been on the Elmiron for 3 days, with 176 days to go. Migranes for the first 2 days. I am exhausted all the time, my body aches. I&#039;m really hoping this goes away. All I want to do is sleep.",-1,0.1594529,0.6614989,1,Pentosan polysulfate sodium,Interstitial Cystitis,2-Aug-14,22,2,,
8970,Didn&#039;t take away pain in 1 months,-1,0.27076143,0.7280342,1,Ranitidine,Stomach Ulce,14-Jan-16,4,1,,
35297,"I took this as prescribed (3 hours after eating, already in bed). It took me 90 minutes to go to sleep. I woke up 2 hours later and stayed up until 7 am in the morning (5 hours). I&#039;ve got to have some strange biochemistry going on - Ambien gave me an anxiety attack and kept me up too. Both medicines seemed to depress my breathing rhythm. ",-1,0.001889004,0.99224573,1,Doxepin,Insomnia,30-Dec-11,24,1,,
49600,"I&#039;ve had acne since 5th grade and at first it was on my forehead, then it spread to my chin and nose and I&#039;m in 9th grade now. I have acne mostly on my cheeks and nose. I have a lot of scars on my cheeks and I tried Epiduo a year ago and it did not work for me at all. It made my skin red and dry and did not clear it. But my brother has had acne since the fourth grade and has tried everything from Proactive to Clearsil, Clean and Clear. Everything. He uses Epiduo and it has completely. COMPLETELY. Cleared his skin. He uses Neutrogena face bar, a moisturizer and Epiduo in the morning and at night. After 8 years of acne Epiduo has been the only thing to help him. I&#039;m still trying to find something to clear my skin, hope this helped.",-1,0.003961945,0.99340457,1,Adapalene / benzoyl peroxide,Acne,14-Jul-14,23,2,,
40551,"Early days as just starting this due to mirtazapine not working, difficult to rate yet but have high hopes for some relief from daily anxiety,  affecting being unable to socialise and continue with normal life.  Tried CBT but after 20 sessions no better. Your website is helpful with others experiences giving an insight.   Will post again if successful.",-1,0.000141686,0.99468577,1,Sertraline,Anxiety and Stress,4-Jan-17,15,1,,
12825,"I have arthritis in my knee. This works for Pain, but under no circumstances go out in the sun while using it.  Sun intensifies medication and feels like you have been stung by a jelly fish.  If exposed by sun, ice immediately and wash off.",-1,0.000283963,0.9973036,1,Capsaicin,Pain,1-Jul-12,24,1,,
48363,"I am in my early 50s.  The &quot;docs&quot; gave me this med initially for &quot;stress&quot;.  I was referred to a &quot;psychiatrist&quot; right after &amp; I complied.  The &quot;Psychiatrist&quot; announced I had &quot;full blown clinic depression&quot; even though all I felt was stress.  I took the medication as prescribed (25mg), &amp; had to endure 1 week of agony, but figured it was part of &quot;the drug&quot;.  I had muscle twitches, sweating, hot/cold sensation was thrown off, Blood pressure would shoot up &amp; drop low, NO SLEEP at all for 1 week, before the &quot;medication&quot; took hold.  Getting off the crap was just as bad if not worse.  As a result of this med, I have become well acquainted with the local Sheriffs Dept, who showed up twice to &quot;Baker Act&quot; me For the side-affect - suicidal thoughts.",-1,0.002520166,0.9856257,1,Sertraline,Depression,19-May-16,37,1,,
35687,"I have mixed connective tissue disease, with rheumatoid symptoms.  I have severe back pain due to degenerative arthritis of the spine.  About every three months I get an 80 mg Depo Medrol IM injection.  Works wonders to knock out the inflammation.  I went to my doctor to get an injection - I was in severe pain - the nurse gave me Dexamethasone 10 mg IM instead.  My first reaction was acute euphoria - my daughter said I acted like I was drunk - and this lasted about 10 minutes.  Then I had something I can only describe as confusion, and the pain came back and it was worse than ever.  I felt terrible for days.  I reported this to my doctor and the NP, who were very cavalier and said that it should have worked the same. ",-1,0.001887762,0.99133,1,Dexamethasone,Inflammatory Conditions,20-Jan-15,9,1,,
50808,"I have had to do bowel prep twice in my life for colonoscopys. In the hospital they use a different mixture or concoction of stuff, that tastes better and you have a longer space of time to get all your liquid in. Anyway I am a small 20 something, the amount of liquid you have to drink wasn&#039;t what bothered me, although I did come close to vomiting on round two from getting to full of liquid. It has to be the taste of this darn stuff that gets me! I hate it! So the quicker you down it the better, then get yourself some good tasting fresh water. I have had worse experiences in life anyway so this isn&#039;t that bad. Although I would suggest getting very large bed time maxi pads, just in case... I leaked a little and the pads saved my sheets.",-1,0.00020152,0.99320847,1,Suprep Bowel Prep Kit,Bowel Preparation,7-Aug-15,16,3,,
13445,"Prescribed ropinirole by hospital doctor for RLS that began while in hospital for subdermal hematoma due to a fall. RLS does not always last a lifetime. Anyhow, Dr prescribed to me upon leaving hospital. I started to take as prescribed but it made me feel ill and awkward so I stopped. My OT then asked why I wasn&#039;t taking it and advised me to &#039;take as doctor ordered&#039; despite bad experience. So, I started back on it. By 3 weeks, it was slowing my movements to snail pace! Took me 30 minutes to walk 30 feet, it was horrible! My family came to realize the reason for my near paralysis was this new drug. We are ready to sue and hope it doesn&#039;t cause permanent walking difficulty! I walked out of the hospital just fine, now this?! USE CAUTION folks",-1,0.001812033,0.9863273,1,Ropinirole,Restless Legs Syndrome,21-Apr-17,11,1,,
23768,This pill made me have 2 full cycles each month. With lots of cramping. NOT an equivalent generic.,-1,0.000152605,0.99919385,1,Marlissa,Birth Control,22-Dec-16,1,1,,
3324,I got results while in rehab on 800 mg twice a day. After 3 back surgeries and 45 radiations. I am lucky to be alive.  Nowadays it does nothing for the 360 degree clamping feeling around my chest and back,-1,0.000180473,0.9948795,1,Gabapentin,Neuropathic Pain,7-Oct-16,7,1,,
43607,"I tried the Mirena due to heavy periods. I was 49 when I had it inserted. The cycle of the insertion last about 15 days. After that, my period hadn&#039;t lightened up at all. I actually had a period starting two weeks after the last one during the 5th month. I decided after the period of the seventh month that I wanted it removed. My cycle was still 6-7 days, but the last two months included an extra day of spotting started. By this time in the journey, I had celebrated my 50th birthday, knew that having more children was not on my &quot;To Do&quot; list, and really wanted my heavy periods to end. So, I had it removed and I am now scheduled for the ablation procedure. I had high hopes for the Mirena, but it wasn&#039;t the right fit for me.",-1,0.000472765,0.99835455,1,Levonorgestrel,Abnormal Uterine Bleeding,3-Oct-11,19,2,,
26677,"With Imuran, I had no quality of life. Daily fatigue and nausea/vomitting. Things are better on Entyvio.",-1,0.000117974,0.99953663,1,Imuran,Ulcerative Colitis,26-Feb-17,1,1,,
